,Host,Dokumente,Land,Date
1909,Universiti Teknologi Malaysia: Institutional Repository,23826,my,2007-03-13
1910,Univ. of Hertfordshire: UH Research Archive,8144,uk,2007-03-13
1911,Sveriges Lantbruksuniv. (SLU): Epsilon Undergraduate Theses Archive,2121,se,2007-03-13
1912,Indiana Univ. of Pennsylvania: Dspace,440,us,2007-03-13
1913,DoKS @ Katholieke Hogeschool Zuid West Vlaanderen (KATHO),3477,be,2007-03-13
1914,Denison Univ. Granville: Denison's Digital Collections,935,us,2007-03-13
1915,Robert Gordon Univ. Aberdeen: Open Access Inst. Repository (OpenAIR@RGU),586,uk,2007-03-12
1916,Univ. de Montréal: Papyrus - Digital Institutional Repository,7851,ca,2007-03-08
1917,"Helmholtz-Zentrum Geesthacht, Zentrum für Material- und Küstenforschung (HZG)",698,de,2007-03-08
1918,Halmstad Univ. Scholarly Archive (HUSA),3047,se,2007-03-08
1919,Univ. de la Communauté française de Belgique (BICTEL/e): Thèses et e-prints,594,be,2007-03-07
1920,"The University of Dublin, Trinity College:  TARA (Trinity's Access to Research Archive)",33843,ie,2007-03-07
1921,Hogeschool West-Vlaanderen: Digitaal archief HOWEST,155,be,2007-03-07
1922,Bond Univ.: e-publications@bond,6086,au,2007-03-07
1923,Universidad Nacional de La Plata (UNLP): SeDiCI (Servicio de Difusión de la Creación Intelectual),16844,ar,2007-03-06
1924,International Development Research Centre (IDRC): Publication Archive,6649,ca,2007-03-06
1925,DigiZeitschriften: Das deutsche digitale Zeitschriftenarchiv (SUB Göttingen),227528,de,2007-03-06
1926,Universidad Nacional Mayor de San Marcos (UNMSM): Cybertesis Perú,1074,pe,2007-03-02
1927,Inst. Brasileiro de Informação em Ciência e Tecnologia (IBICT): Biblioteca Digital de Teses e Dissertações (BDTD),143828,br,2007-03-02
1928,DSpace at Open Univ. Nederland,3912,nl,2007-03-02
1929,Archivio Guliano Marini (Host: Univ. di Pisa),191,it,2007-03-02
1930,University of Delhi: DU Eprint Archive,170,in,2007-03-01
1931,University of Illinois at Urbana-Champaign: Univ. of Illinois Archives,28549,us,2007-02-27
1932,"Univ. of Nevada, Reno Libraries: Univ. Digital Conservancy",27727,us,2007-02-27
1933,University of Pittsburgh: Digital Research Library (DLR),106364,us,2007-02-23
1934,Hofprints - Hofstra Univ. Eprint Archive,44,us,2007-02-23
1935,Bromley College: DSpace,42,uk,2007-02-23
1936,Bayerische Staatsbibliothek (BSB): Münchener Digitalisierungszentrum (MDZ),65546,de,2007-02-23
